id,title,authors,type,location,date,link,axis
T259,WHY DO WE USE STOCHSTIC OPTIMIZATION METHODS? A STUDY ON PARAMETER ESTIMATION FOR THERMODYNAMIC MODELING,"Rafael Pereira do Carmo, Iuri Soter Viana Segtovich, Frederico Wanderley Tavares", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T262,"ELECTRICAL DOUBLE-LAYER AND WETTABILITY OF BRINE, CALCITE, AND OIL INTERFACES","Nathalia S. V. Barbosa, Pedro H. R. Alijó, Eduardo R. A. Lima, Frederico W. Tavares", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T273,STUDY OF THE CRITICAL SOLUBILITY PARAMETER OF SYNTHETIC MIXTURES OF SOLVENTS + AGED ASPHALTENE,"Rafael N. G. dos Santos, Larissa O. Fortes, Eduardo R. A. Lima, Marcio L. L. Paredes", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T274,THEORETICAL-EXPERIMENTAL COMPARISON OF ASTM D86 DISTILLATION CURVES OF SYNTHETIC MIXTURES: EVALUATION OF MODIFICATIONS PROPOSED BY THE LITERATURE,"Rafael N. G. dos Santos, Eduardo R. A. Lima, Márcio L. L. Paredes", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T275,OBTAINING THE INTERFACIAL DILATATIONAL MODULE AND ANALYSIS OF THE CONCENTRATION OF RESINS AND ASPHALTENS,"Rafael N. G. dos Santos, Patricia B. Ximango, Márcio L. L. Paredes, Eduardo R. A. Lima", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T280,DESCRIPTION OF SOLID-FLUID EQUILIBRIUM THROUGH A RIGOROUSLY DERIVED SOLID SOLUTION MODEL,"Andrés F. Porras Giraldo, S. Belén Rodriguez-Reartes, Marcelo S. Zabaloy, BALLIANO, Tatiane L. ", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T281,AVALIAÇÃO DA PRECIPITAÇÃO DE SAIS INORGÂNICOS EM SOLUÇÕES AQUOSAS CONTENDO INIBIDOR DE HIDRATO,"Elvio B. M. Filho, Gabriela M. Silva, Fabiane S. Serpa, Leonardo S. Pereira, Jailton F. Nascimento, Gustavo Borges", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T289,COMPRESSIBILIDADE ISOTÉRMICA DAS MISTURAS DE BIOQUEROSENE COM QUEROSENE DE AVIAÇÃO,"Luis Augusto Medeiros Rutledge, Idila R. C. Gonçalves, Krishnaswamy Rajagopal", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T292,MODELLING CO2 SOLUBILITY IN POLAR SOLVENTS WITH CPA EOS,"Luis A. FollegattiRomero, Cláudio A. Oller do Nascimento, Georgios M. Kontogeorgis, Xiaodong Liang", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T294,ESTUDO EXPERIMENTAL DE SOLUBILIDADE DE DIÓXIDO DE CARBONO EM SISTEMAS AQUOSOS NA PRESENÇA DE CARBONATOS E MEG,"Caíque C. dos Santos, Fabiane S. Serpa, Leonardo S. Pereira, Jailton F. Nascimento, Gustavo R. Borges, Cláudio Dariva", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T298,ANÁLISE PARAMÉTRICA DA TERMODINÂMICA DE PROCESSO PARA GERAÇÃO DE ENERGIA EM USINA TERMELÉTRICA A GÁS NATURAL,"Lucas Neves de Almeida, João Carlos Ferreira Almeida de Sá, Luiz Antônio de Oliveira Chaves", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T304,PROPOSING SURROGATE FUELS FOR BRAZILIAN GASOLINES BASED ON VISCOSITY MODELLING,"Aline P. Brandão, Rosana J. Martins, Luiz Sérgio R. Lamego", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T307,PURIFICAÇÃO DE BIODIESEL UTILIZANDO LÍQUIDOS IÔNICOS,"Sabrina Sarkis de Andrade, Diego Batista Valim, Guilherme José Maximo, Grazielle dos Santos Silva Andrade, Marlus Pinheiro Rolemberg", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T308,OTIMIZAÇÃO DA REAÇÃO DE TRANSESTERIFICAÇÃO UTILIZANDO UMA RESINA ANIÔNICA FORTEMENTE BÁSICA COMO CATALISADOR HETEROGÊNEO,"Ramon S. B. Ferreira, Eduardo A. C. Batista", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T310,HYDROGEN NANOLEAKAGE IN A GRAPHENE MEMBRANE VIA MOLECULAR DYNAMICS,"Jhefferson L. Schiavini, Jeconias R. Guimarães", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T311,MODELAGEM DA ESPECIAÇÃO DE CO2 E AVALIAÇÃO DOS EFEITOS DE TEMPERATURA E PRESSÃO NO SISTEMA CO2-H2O,"Gerson Francisco da Silva Junior, Amaro Gomes Barreto Junior, Juliana Braga Rodrigues Loureiro, Caio Felippe Curitiba Marcellos", Sessão Pôster A,,Segunda-feira 04/11,,"Petróleo, gás e combustíveis; Processos de separação"
T003,VAPOR-LIQUID EQUILIBRIA OF PSEUDO-BINARY SYSTEMS CONTAINING DEEP EUTECTIC SOLVENTS BASED ON CHOLINE CHLORIDE AND GLYCEROL,"Giselle A. L. Souza, Luciana Y. A. Silva, Patrícia F. M. Martinez",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T006,EQUATIONS OF STATE BASED ON MOLECULAR SIMULATIONS FOR PURE CONFINED FLUIDS AND THEIR MIXTURES,"Mariana A. Almeida, Gabriel D. Barbosa, Leonardo Travalloni, Frederico W. Tavares",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T015,ANÁLISE EXPERIMENTAL E MODELAGEM TERMODINÂMICA DO EQUILÍBRIO LÍQUIDO-VAPOR DO SISTEMA METANOL E PALMITATO DE METILA,"Nian Vieira Freire, Pedro Felipe Arce Castillo",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T016,LIQUID-LIQUID EQUILIBRIA PREDICTION USING  PENG-ROBINSON EQUATION OF STATE WITH PARAMETERS ESTIMATED FOR VAPOR-LIQUID EQUILIBRIA,"Antonio R. Azevedo, André F. Young, Victor R. R. Ahón, Luiz F. P. Pessoa",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T017,SOLUBILIDADE EM EXCESSO DO ÁCIDO NICOTÍNICO EM SOLUÇÕES HIDROALCOÓLICAS A DIFERENTES TEMPERATURAS,"Alessandro C. Galvão, Weber S. Robazza, Thaiany D. Machado, Dilian H. Hagemann, Caroline A. L. França, Karine Varnier, Dionatan F. H. Coleti",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T028,SOLUBILIDADE DA XILOSE EM SOLUÇÕES LÍQUIDAS BINÁRIAS FORMADAS POR ÁGUA E GLICÓIS A DIFERENTES TEMPERATURAS,"Caroline Azeredo Luiz de França, Alessandro Cazonatto Galvão, Weber da Silva Robazza, Patrícia Gotardo Machado, Layze Vitoria Barbosa, Dilian Henrique Hagemann, Karine Varnier",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T029,EQUILÍBRIO LÍQUIDO-LÍQUIDO APLICADO À PRODUÇÃO E PURIFICAÇÃO DO BIOCOMBUSTÍVEL 2-METILFURANO,"Leila C. Moreira, Luis A. Follegatti-Romero",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T032,MODELAGEM MATEMÁTICA DO PROCESSO DE EXTRAÇÃO SUPERCRÍTICA DE OLEORRESINA DE SUBPRODUTO DO DESPOLPAMENTO DE JALAPENHO,"Ana Carolina F. Soldan, Sarah Arvelos, Erika O. Watanabe, Carla E. Hori",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T033,DESENVOLVIMENTO DE UMA EQUAÇÃO DE ESTADO A PARTIR DA TEORIA DE PERTURBAÇÃO DE TRÊS CORPOS,"Amanda M. Rosa, Luís F. M. Franco",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T036,AVALIAÇÃO DO COEFICIENTE DE PARTIÇÃO DOS ÁCIDOS CAFEICO E P-CUMÁRICO A PARTIR DO SISTEMA AQUOSO BIFÁSICO ETANOL+SULFATO DE AMÔNIO + ÁGUA A 298 K. ,"Giovana C. A. Netto, Fernanda Paludetto Pelaquim, Mariana Conceição da Costa",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T041,"DETERMINAÇÃO EXPERIMENTAL E MODELAGEM DA TENSÃO SUPERFICIAL DE SOLUÇÕES AQUOSAS DE FORMATO, ACETATO, PROPIONATO E BEZOATO DE SÓDIO EM T = (293,15-323,15) K","Paula R. M. Costa , Frederico R. do Carmo , Hosiberto B. de SantŽAna ",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T043,"DENSITIES, EXCESS VOLUME AND DERIVATIVE PROPERTIES FOR BINARY AND TERNARY MIXTURES OF CARBON DIOXIDE, N-DECANE AND NAPHTHALENE UNDER HIGH PRESSURE AND TEMPERATURE","Angélica M. Chacón Valero,  Filipe X. Feitosa, Hosiberto B. de SantAna",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T046,AJUSTE DO MODELO DE MÚLTIPLAS SOLUÇÕES SÓLIDAS A PARTIR DE DADOS EXPERIMENTAIS DE DSC PARA MISTURAS SINTÉTICAS DE PARAFINAS,"Wilfred A. Gomez,  R. P. Carmo , V. M. Silva, Papa. M. Ndiaye,  F. W. Tavares",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T049,AVALIAÇÃO DA CAPACIDADE ADSORTIVA DA BIOMASSA GERADA DA Terminalia Cappata Linn NO TRATAMENTO DE EFLUENTES,"Lizeth Vanessa Amado Jurado, Gabriela Machado Chemp, Marisa Fernandes Mendes",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T050,AVALIAÇÃO DO CARVÃO ATIVADO PRODUZIDO A PARTIR DA CASCA DA SEMENTE DA SERINGUEIRA COMO ADSORVENTE NO TRATAMENTO DE EFLUENTES,"Eliana Z. Megale, Matheus S. P. Carneiro, Francisco E. A. Catunda Jr., Marisa F. Mendes",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T052,EQUILÍBRIO DE FASES DE MONOETILENO GLICOL + ÁLCOOL + N-ALCANO: ESTUDO EXPERIMENTAL E MODELAGEM TERMODINÂMICA,"Vanessa A. Mascietti, Wilfred A. Gomez, Ana P. P. Simoncelli, Papa M. Ndiaye, Frederico W. Tavares",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T058,SIMPLIFICAÇÃO DA REGRA DE MISTURA SCMR E ESTIMAÇÃO DO PARÂMETRO DE DENSIDADE ADIMENSIONAL ÓTIMO PARA O CÁLCULO DE EQUILÍBRIO DE FASES,"Nicholas C. Oliveira, Paula B. Staudt, Rafael de P. Soares",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T060,PREDIÇÃO DAS EFICIÊNCIAS ENERGÉTICAS E EXERGÉTICAS DE UM RESFRIADOR INDUSTRIAL TIPO SATÉLITE UTILIZADO NO PROCESSO DE PRODUÇÃO DE CLÍNQUER,"Gustavo H. Silva, Tulio F. Anacleto, Letícia F. Turetta, Andréa O. S. Costa",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T063,"ESTUDO DO EQUILÍBRIO LÍQUIDO-LÍQUIDO DE SISTEMAS AQUOSOS BIFÁSICOS COMPOSTOS POR 2-PROPANOL, SAIS DE SÓDIO E ÁGUA: EXPERIMENTAL E MODELAGEM","Pedro Souza, Igor Julião, Eugênia Macedo, Marisa Mendes",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T064,EQUILIBRÍO LÍQUIDO-VAPOR DO SISTEMA ISOPROPANOL-ÁGUA-GLICEROL À PRESSÃO ATMOSFÉRICA,"Igor B. Julião, Matheus V. Bessa, Pedro A. P. de Souza, Marisa F. Mendes",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T073,ESTUDO DA CAPACIDADE ADSORVENTE DO GENGIBRE (Zingiber officinale Roscoe) NO TRATAMENTO DE EFLUENTES DA INDÚSTRIA TÊXTIL,"Ana Carolina da Silva, Larissa de Souza Amaro, Marisa Fernandes Mendes",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T079,INFLUÊNCIA DO PROPILENOGLICOL NO EQUILÍBRIO LÍQUIDO-VAPOR DO SISTEMA ETANOL-ÁGUA A PRESSÃO ATMOSFÉRICA,"Luana Ferreira da Silva, Igor Barreto Julião, Cristiane de Souza Siqueira Pereira, Marisa Fernandes Mendes",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
T081,CARACTERIZAÇÃO DE SOLVENTES EUTÉTICOS PROFUNDOS BASEADOS EM FOSFÔNIO VIA DINÂMICA MOLECULAR,"Arthur Mussi Luz, Charlles Rubber de Almeida Abreu, Jéssica Caroline da Silva Linhares Maciel",SESSÃO PÔSTER B,,Terça-feira 05/11,,Processos de separação; Termoquímica
